,epsilon,g,gamma_hot,gamma_cold,temperature_hot,temperature_cold,concurrence
366,1,0.02,0.001,0.1,36.7,0.01,0.058442378575448345
367,1,0.02,0.001,0.1,36.800000000000004,0.01,0.05828140461366466
368,1,0.02,0.001,0.1,36.900000000000006,0.01,0.058120624211040514
369,1,0.02,0.001,0.1,37.0,0.01,0.057960038474378854
370,1,0.02,0.001,0.1,37.1,0.01,0.05779964848828873
371,1,0.02,0.001,0.1,37.2,0.01,0.05763945531550692
372,1,0.02,0.001,0.1,37.300000000000004,0.01,0.057479459997208424
373,1,0.02,0.001,0.1,37.400000000000006,0.01,0.05731966355332273
374,1,0.02,0.001,0.1,37.5,0.01,0.05716006698283469
375,1,0.02,0.001,0.1,37.6,0.01,0.05700067126408968
376,1,0.02,0.001,0.1,37.7,0.01,0.0568414773550881
377,1,0.02,0.001,0.1,37.800000000000004,0.01,0.056682486193777845
378,1,0.02,0.001,0.1,37.900000000000006,0.01,0.05652369869834432
379,1,0.02,0.001,0.1,38.0,0.01,0.05636511576749326
380,1,0.02,0.001,0.1,38.1,0.01,0.056206738280729876
381,1,0.02,0.001,0.1,38.2,0.01,0.05604856709863666
382,1,0.02,0.001,0.1,38.300000000000004,0.01,0.055890603063143224
383,1,0.02,0.001,0.1,38.400000000000006,0.01,0.05573284699779369
384,1,0.02,0.001,0.1,38.50000000000001,0.01,0.05557529970801307
385,1,0.02,0.001,0.1,38.6,0.01,0.05541796198136474
386,1,0.02,0.001,0.1,38.7,0.01,0.055260834587807534
387,1,0.02,0.001,0.1,38.800000000000004,0.01,0.05510391827994888
388,1,0.02,0.001,0.1,38.900000000000006,0.01,0.05494721379329155
389,1,0.02,0.001,0.1,39.00000000000001,0.01,0.054790721846481746
390,1,0.02,0.001,0.1,39.1,0.01,0.054634443141548576
391,1,0.02,0.001,0.1,39.2,0.01,0.054478378364142765
